Company,Existing Asset,New Asset,Intangible Asset,Tangible Asset,Economical Value,No Economical Value,Centralized,Distributed,Common
Odesk,1,0.0,1,0.0,1,0.0,0.0,1,0.0
Kiva,1,0.0,0.0,1,1,0.0,0.0,1,0.0
Athena Health,0.0,1,1,0.0,0.0,1,1,0.0,0.0
Shutterfly,0.0,1,0.0,1,0.0,1,0.0,1,0.0
LinkedIN,0.0,1,1,0.0,0.0,1,0.0,1,0.0
Netflix,1,0.0,1,0.0,1,0.0,1,0.0,0.0
Facebook,0.0,1,1,0.0,0.0,1,0.0,1,0.0
Yelp,0.0,1,1,0.0,0.0,1,0.0,1,0.0
AirBNB (2008),1,0.0,0.0,1,1,0.0,0.0,1,0.0
Wikipedia,0.0,1,1,0.0,0.0,1,0.0,0.0,1
Kickstarter,1,0.0,0.0,1,1,0.0,0.0,1,0.0
ZipCar,0.0,1,0.0,1,1,0.0,1,0.0,0.0
Evernote,0.0,1,1,0.0,0.0,1,1,0.0,0.0
Spotify,1,0.0,1,0.0,1,0.0,1,0.0,0.0
Salesforce,0.0,1,1,0.0,0.0,1,0.0,1,0.0
Ancestry,1,0.0,1,0.0,0.0,1,0.0,1,0.0
Global Giving,1,0.0,0.0,1,1,0.0,0.0,1,0.0
Elance,1,0.0,1,0.0,1,0.0,0.0,1,0.0
Survey Monkey,0.0,1,1,0.0,0.0,1,1,0.0,0.0
Plos,0.0,1,1,0.0,0.0,1,0.0,0.0,1
Crowdflower,1,0.0,1,0.0,1,0.0,0.0,1,0.0
DeviantArt,1,0.0,1,0.0,0.0,1,0.0,1,0.0
23AndMe,0.0,1,1,0.0,1,0.0,0.0,1,0.0
Twitter,0.0,1,1,0.0,0.0,1,0.0,1,0.0
Patientslikeme,0.0,1,1,0.0,1,0.0,0.0,1,0.0
Shiply,1,0.0,0.0,1,1,0.0,0.0,1,0.0
Skype,0.0,1,1,0.0,0.0,1,1,0.0,0.0
Instragram,0.0,1,1,0.0,0.0,1,0.0,1,0.0
Foursquare,0.0,1,1,0.0,0.0,1,0.0,1,0.0
Pinterest,1,0.0,1,0.0,0.0,1,0.0,1,0.0
Docstoc,1,0.0,1,0.0,1,0.0,0.0,1,0.0
Khan Academy,0.0,1,1,0.0,0.0,1,1,0.0,0.0
Dropbox,1,0.0,1,0.0,0.0,1,0.0,1,0.0
BlaBlaCar (2116),1,0.0,0.0,1,1,0.0,0.0,1,0.0
Arduino,0.0,1,0.0,1,1,0.0,0.0,0.0,1
Couchsurfing,1,0.0,0.0,1,1,0.0,0.0,1,0.0
Sparkfun,1,0.0,0.0,1,1,0.0,1,0.0,0.0
37signals,0.0,1,1,0.0,0.0,1,1,0.0,0.0
Android,0.0,1,1,0.0,0.0,1,0.0,0.0,1
Whatsapp,0.0,1,1,0.0,0.0,1,0.0,1,0.0
Ebay,1,0.0,0.0,1,1,0.0,0.0,1,0.0
Makerbot,0.0,1,0.0,1,1,0.0,1,0.0,0.0
Huffington Post,1,0.0,1,0.0,0.0,1,0.0,1,0.0
Etsy,1,0.0,0.0,1,1,0.0,0.0,1,0.0
Taskrabbit,1,0.0,1,0.0,1,0.0,0.0,1,0.0
Quora,0.0,1,1,0.0,0.0,1,0.0,1,0.0
Lendingclub,1,0.0,0.0,1,1,0.0,0.0,1,0.0
Carpooling.com,1,0.0,0.0,1,1,0.0,0.0,1,0.0
Stack Overflow,0.0,1,1,0.0,0.0,1,0.0,1,0.0
Outbrain,1,0.0,1,0.0,0.0,1,1,0.0,0.0
We Transfer,1,0.0,1,0.0,0.0,1,1,0.0,0.0
Layar,0.0,1,1,0.0,0.0,1,1,0.0,0.0
Waze,1,0.0,1,0.0,0.0,1,0.0,1,0.0
8Coupons,0.0,1,0.0,1,1,0.0,0.0,1,0.0
Causes,0.0,1,1,0.0,0.0,1,0.0,1,0.0
Hoote Suite,1,0.0,1,0.0,0.0,1,0.0,1,0.0
Change.org,0.0,1,1,0.0,0.0,1,0.0,1,0.0
Guifinet,1,0.0,0.0,1,1,0.0,0.0,1,0.0
Youtube,1,0.0,1,0.0,0.0,1,0.0,1,0.0
Research Gate,0.0,1,1,0.0,0.0,1,0.0,1,0.0
TedX,1,0.0,1,0.0,0.0,1,0.0,1,0.0
Meet Up,1,0.0,1,0.0,0.0,1,0.0,1,0.0
Yammer,0.0,1,1,0.0,0.0,1,0.0,1,0.0
Crowdgather,1,0.0,1,0.0,0.0,1,0.0,1,0.0
Quirky,0.0,1,0.0,1,1,0.0,0.0,1,0.0
Shapeways,0.0,1,0.0,1,1,0.0,0.0,1,0.0
Fon,0.0,1,0.0,1,1,0.0,0.0,1,0.0
